authors,average_rating,language_code,# num_pages,ratings_count,text_reviews_count
V.T. Rajshekar-Y.N. Kly,4.33,eng,100.0,9.0,533.6321277526615
Vasant Moon-Gail Omvedt-Eleanor Zelliot,3.58,eng,224.0,16.0,4.0
Barry R. Cournoyer,3.4,eng,216.0,10.0,533.6321277526615
John Carratello-Patty Carratello-Theresa Wright,3.94,eng,48.0,17.0,533.6321277526615
George Smoot-Keay Davidson,3.99,en-US,360.0,985.0,23.0
Madeleine L'Engle,4.01,eng,250.0,37.0,7.0
Tara MacCarthy,3.57,eng,32.0,14.0,533.6321277526615
Madeleine L'Engle,4.01,spa,205.0,6.0,1.0
Cynthia Harrod-Eagles,4.11,eng,367.0,366.0,16.0
Charles Todd,4.11,eng,352.0,2934.0,222.0
Ewan McGregor-Charley Boorman-Robert Uhlig,3.94,en-US,320.0,346.0,45.0
Daniel Abraham,3.6,eng,331.0,9530.0,604.0
Charles Willeford-James Lee Burke,3.91,eng,244.0,770.0,72.0
Charles Willeford-Lawrence Block,4.04,eng,215.0,688.0,68.0
Charles Willeford-Elmore Leonard,3.94,eng,191.0,2739.0,158.0
Edward Lear-Laura Huliska-Beith-Edward Mendelson,3.9,eng,48.0,64.0,18.0
Quentin Blake,4.04,eng,287.0,76.0,6.0
Henry Miller-Thomas H. Moore,4.23,eng,217.0,937.0,50.0
Henry Miller,3.69,eng,154.0,3237.0,134.0
Henry Miller,4.09,eng,316.0,3181.0,53.0
Henry Miller,4.04,eng,506.0,7024.0,248.0
Henry Miller,3.83,eng,292.0,2627.0,142.0
Henry James-Gabriel Brownstein-Mary Cregan,3.77,eng,635.0,386.0,40.0
Marguerite Duras-Barbara Bray-قلسم روبین,3.85,eng,192.0,918.0,62.0
Marguerite Duras-Richard Seever,3.67,en-US,181.0,1939.0,122.0
Marguerite Duras-Barbara Bray-Helen Lane Cumberford,3.68,eng,133.0,532.0,41.0
Marguerite Duras,3.89,fre,246.0,312.0,23.0
Kahlil Gibran-Suheil Bushrui-Salma H. Al-Kuzbari,3.67,eng,178.0,201.0,9.0
Jean Gibran-جبران خليل جبران-Kahlil Gibran,4.2,eng,464.0,33.0,2.0
Kahlil Gibran-John Walbridge-Robin Waterfield,4.19,eng,102.0,320.0,16.0
Kahlil Gibran-جبران خليل جبران,3.98,eng,216.0,1272.0,78.0
Kahlil Gibran-جبران خليل جبران-Anthony R. Ferris,3.92,eng,132.0,6175.0,492.0
Kahlil Gibran-جبران خليل جبران,4.08,eng,100.0,2893.0,210.0
Robert Louis Stevenson-Scott McKowen,3.83,en-US,213.0,393.0,41.0
Robert Louis Stevenson,3.83,eng,245.0,5900.0,270.0
Robert Louis Stevenson-N.C. Wyeth-Timothy Meis,3.83,eng,64.0,103.0,16.0
Robert Louis Stevenson-Milo Winter,3.83,en-US,272.0,56.0,4.0
Deidre S. Laiken-A.J. McAllister-Robert Louis Stevenson,4.04,eng,232.0,85.0,18.0
Ralph Ginzburg,4.63,eng,270.0,81.0,4.0
Gabriel García Márquez,4.06,spa,448.0,54.0,6.0
Gabriel García Márquez,4.06,spa,456.0,73.0,8.0
Dr. Seuss,4.04,eng,64.0,2724.0,153.0
Debbie Raleigh,3.58,eng,256.0,89.0,11.0
Kevin Henkes,3.46,eng,147.0,206.0,23.0
Patrick Süskind,4.02,spa,239.0,3956.0,242.0
Tom Robbins,4.24,eng,352.0,4157.0,393.0
Robert A. Heinlein,4.01,eng,738.0,250.0,17.0
Robert A. Heinlein,4.17,eng,382.0,3667.0,416.0
Robert A. Heinlein-Stephen Hickman,4.07,en-US,56.0,3192.0,23.0
Robert A. Heinlein,3.87,en-US,434.0,10140.0,187.0
Robert A. Heinlein,3.97,eng,256.0,6723.0,188.0
Nick  Webb,4.14,eng,368.0,2548.0,47.0
Terry Jones,3.6,eng,256.0,864.0,80.0
Douglas Adams-Christopher Cerf,3.92,eng,336.0,5.0,533.6321277526615
Susan Nanus-Norton Juster,4.1,eng,72.0,94.0,13.0
Harry G. Frankfurt,3.57,eng,67.0,8773.0,937.0
Nick Flynn,3.78,eng,347.0,9053.0,907.0
Garry Wills,4.13,en-US,317.0,119.0,14.0
Abraham Lincoln-Michael McCurdy,4.53,eng,32.0,4967.0,69.0
Don DeLillo,3.99,eng,480.0,11361.0,533.0
Don DeLillo,3.68,eng,254.0,8085.0,411.0
Don DeLillo,3.43,eng,377.0,367.0,54.0
Don DeLillo,3.42,eng,256.0,1285.0,70.0
Don DeLillo,3.48,eng,272.0,2385.0,137.0
Don DeLillo,3.64,eng,339.0,2990.0,201.0
Thomas Pynchon,3.96,eng,547.0,1364.0,176.0
Thomas Pynchon,3.7,eng,152.0,2132.0,229.0
Thomas Pynchon,3.68,en-US,385.0,668.0,64.0
Thomas Pynchon,3.5,eng,193.0,322.0,32.0
Richard Fariña-Thomas Pynchon,3.81,eng,352.0,2356.0,215.0
Joan Didion,3.88,en-US,227.0,2507.0,328.0
Joan Didion,4.17,eng,222.0,10584.0,651.0
Joan Didion,3.8,eng,272.0,2790.0,238.0
Joan Didion,3.86,eng,240.0,2665.0,282.0
Joan Didion,3.81,en-US,234.0,1963.0,165.0
Paul Auster,3.79,eng,203.0,11696.0,696.0
Paul Auster,3.65,eng,96.0,3443.0,185.0
Paul Auster,3.89,eng,179.0,2818.0,153.0
Peter Moon-Preston B. Nichols-Nina Helms,3.91,eng,256.0,70.0,2.0
Paul Auster,3.68,eng,181.0,9200.0,599.0
Paul Karasik-David Mazzucchelli-Paul Auster-Bob Callahan,3.92,eng,129.0,120.0,18.0
Paul Auster,3.9,en-US,217.0,354.0,35.0
Paul Auster,3.95,eng,275.0,11238.0,420.0
Paul Auster,3.77,eng,104.0,2306.0,114.0
Paul Auster,3.77,eng,58.0,126.0,13.0
Stephen Leeb-Glen C. Strathy,3.39,en-US,211.0,207.0,26.0
Joseph A. Tainter,4.13,eng,262.0,676.0,87.0
Robert D. Putnam,3.79,eng,544.0,4418.0,479.0
Philip K. Howard,3.92,eng,272.0,58.0,4.0
Joy Harjo-Gloria Bird-Beth Cuthand-Valerie Martinez-Patricia Blanco,4.39,eng,576.0,269.0,19.0
Nikola Tesla,4.01,eng,88.0,2506.0,224.0
Marc J.  Seifer-William H. Terbo,3.77,eng,542.0,2613.0,313.0
Carol Dommermuth-Costa,3.95,eng,144.0,102.0,5.0
Nikola Tesla-David Hatcher Childress,4.12,eng,100.0,100.0,2.0
Eric Hobsbawm-Terence O. Ranger-Hugh Trevor-Roper-Prys Morgan-David Cannadine-Bernard S. Cohn,3.96,eng,320.0,765.0,41.0
Julie Elizabeth Leto-Leslie Kelly-Kimberly Raye,3.77,eng,256.0,474.0,12.0
Maureen Kelly-CliffsNotes-William Golding,3.92,eng,112.0,66.0,7.0
William Golding,3.67,eng,6.0,369.0,86.0
William Golding-Ben Gibson-E.M. Forster-Edmund L. Epstein,3.67,eng,336.0,1122.0,153.0
Victor Davis Hanson,4.11,eng,397.0,1601.0,92.0
Ephraim Sevela-Antonina W. Bouis,4.15,eng,216.0,1.0,533.6321277526615
Alice Sebold,3.79,en-US,532.0,366.0,75.0
Sharyn McCrumb,3.81,eng,224.0,1346.0,40.0
Dave Shea-Molly E. Holzschlag,4.0,en-US,296.0,767.0,28.0
Elizabeth Castro,3.8,en-US,456.0,540.0,43.0
Michael Ochs-Patrick Javault-Ulrike Wasel,3.84,mul,575.0,274.0,28.0
Eric Schlosser,3.77,eng,310.0,125.0,10.0
Jane Feather,3.51,eng,419.0,462.0,17.0
Kevin O'Malley-Carol Heyer-Scott Goto,4.08,en-US,32.0,1730.0,267.0
Ronald L. DiSanto-Thomas J. Steele,3.72,en-GB,408.0,271.0,10.0
John Harold Haynes,3.83,eng,222.0,36.0,2.0
Catharine M. Fishel-Bill Gardner,3.96,eng,191.0,27.0,533.6321277526615
Leo Tolstoy-Hugh McLean,4.1,eng,304.0,7123.0,257.0
Leo Tolstoy-Constance Garnett,4.13,eng,352.0,2256.0,191.0
Brian Herbert-Kevin J. Anderson,3.65,en-GB,528.0,65.0,5.0
Ayn Rand,3.68,eng,224.0,2674.0,105.0
Ayn Rand,3.86,en-US,752.0,1860.0,228.0
Ayn Rand-Nathaniel Branden,3.5,eng,176.0,11122.0,438.0
Ayn Rand-Nathaniel Branden-Alan Greenspan-Robert Hessen,3.87,eng,340.0,3426.0,153.0
Ayn Rand-Michael S. Berliner-Leonard Peikoff,3.97,eng,681.0,18.0,2.0
J.J. Isler-Peter Isler,3.94,eng,416.0,135.0,6.0
Colin  Wells,3.87,eng,368.0,602.0,78.0
Billy Collins,4.23,eng,192.0,11894.0,608.0
Christopher Caswell,3.63,eng,286.0,47.0,5.0
Bernard Malamud-Kevin Baker,3.63,eng,231.0,8568.0,639.0
Thomas E. Skidmore-Peter H. Smith,3.59,en-US,528.0,221.0,10.0
Jon Stewart,3.59,en-GB,164.0,8623.0,417.0
Gabriel García Márquez-Gregory Rabassa-J.S. Bernstein,4.19,eng,352.0,6132.0,173.0
Gabriel García Márquez,3.96,spa,118.0,7210.0,371.0
Gabriel García Márquez,4.06,spa,496.0,128.0,6.0
Gabriel García Márquez,3.98,spa,176.0,3958.0,237.0
Gabriel García Márquez-Edith Grossman,3.98,eng,533.0,390.0,48.0
Gabriel García Márquez,3.59,spa,112.0,5065.0,312.0
Upasika Kee Nanayon-Thanissaro Bhikkhu,4.38,eng,288.0,32.0,6.0
Rob Humphreys-Beth Chaplin-Rebecca Morrill,3.75,eng,363.0,1.0,533.6321277526615
Lonely Planet-Sarah Johnstone-Tom Masters,4.03,eng,466.0,38.0,5.0
Lonely Planet-Sarah Johnstone-Steve Fallon,4.09,eng,128.0,9.0,533.6321277526615
Lonely Planet-Steve Fallon-Pat Yale,4.03,eng,400.0,7.0,533.6321277526615
H.G. Bissinger,3.87,eng,287.0,6560.0,235.0
Neal Stephenson,4.13,fre,420.0,5.0,1.0
Neal Stephenson,4.11,fre,418.0,5.0,533.6321277526615
Neal Stephenson-J. Frederick George,3.61,eng,448.0,2391.0,129.0
Neal Stephenson,3.25,en-US,308.0,4545.0,218.0
Neal Stephenson-George F. Jewsbury-Stephen  Bury,3.67,eng,640.0,4572.0,259.0
Neal Stephenson,4.2,en-US,464.0,1505.0,60.0
Neal Stephenson-Joachim Körber,4.03,ger,534.0,194.0,16.0
Dan Harrington-Bill Robertie,4.15,eng,450.0,1413.0,30.0
Dan Harrington-Bill Robertie,4.23,eng,381.0,1855.0,73.0
Donald A. Norman,3.94,eng,272.0,3536.0,141.0
Donald A. Norman,4.19,eng,257.0,258.0,30.0
Alex C. Jones-Diane M. Hanson-Stephen K. Ray,4.26,en-GB,259.0,48.0,6.0
Paulo Coelho-Alan R. Clarke-James Noel Smith,3.85,eng,192.0,814.0,71.0
Hiromu Arakawa-Akira Watanabe,4.57,eng,192.0,8568.0,141.0
Hiromu Arakawa-Akira Watanabe,4.57,eng,192.0,9621.0,145.0
Hiromu Arakawa-Akira Watanabe,4.55,eng,200.0,9920.0,270.0
Paulo Coelho-Alan R. Clarke-Mœbius,3.85,en-US,198.0,236.0,31.0
Khaled Hosseini,4.28,eng,324.0,1213.0,201.0
Edward Bulwer-Lytton-John Gregory Betancourt,3.59,eng,360.0,1124.0,67.0
John Steinbeck-Jim Taylor,3.86,eng,160.0,2088.0,162.0
Arthur Golden,4.1,en-US,497.0,2075.0,254.0
David        James-Peggy Mulloy-Rob Marshall-Arthur Golden,4.08,eng,144.0,142.0,8.0
Arthur Golden,4.1,eng,493.0,3883.0,425.0
Mineko Iwasaki-Rande Brown,3.93,eng,334.0,1438.0,148.0
Arthur Golden,4.1,eng,3.0,24.0,5.0
J. Torres-Eric  Kim,3.44,eng,58.0,9.0,2.0
Margaret Johnson-Philip Prowse,3.37,eng,95.0,57.0,6.0
Nora Roberts,3.74,eng,250.0,31.0,3.0
Dan Brown,3.88,spa,508.0,197.0,22.0
Dan Brown-Raúl Amundaray,3.88,spa,18.0,65.0,7.0
Dan Brown,3.82,eng,467.0,1109.0,110.0
Dan Brown-Daniel Roche,3.82,fre,744.0,347.0,14.0
Dan Brown,3.7,eng,736.0,4864.0,410.0
Dan Brown,3.7,eng,585.0,3213.0,178.0
Dan Brown,3.7,eng,448.0,60.0,4.0
Dan Brown-دان براون-فايزة المنجد-محمد فداء الهاشمي,3.7,ara,471.0,43.0,4.0
Dan Brown,3.7,eng,736.0,87.0,12.0
P.J. Parrish,4.04,eng,383.0,440.0,39.0
V.C. Andrews,3.82,eng,368.0,36.0,5.0
Napoleon Hill,4.18,eng,368.0,44.0,9.0
Mike   Mason,3.57,eng,256.0,170.0,14.0
Riki Anne Wilchins,3.95,en-US,288.0,249.0,16.0
Donald J. Trump-Tony Schwartz,3.65,en-US,384.0,11727.0,856.0
George S. Clason,4.25,eng,4.0,78.0,12.0
Trevanian-Gisela Stege,4.22,eng,480.0,9001.0,612.0
Peter  Stone-Sherman Edwards,4.21,eng,192.0,1269.0,30.0
Robert J. Allison,3.6,eng,284.0,32.0,5.0
Robert Morgan,3.73,eng,326.0,282.0,42.0
Pearl S. Buck,3.98,en-US,260.0,54.0,7.0
Rick Warren,3.92,eng,5.0,26.0,2.0
Rick Warren,3.92,en-US,336.0,20.0,3.0
Eric Schlosser,3.74,eng,384.0,793.0,75.0
Stephen W. Frey,3.73,eng,320.0,27.0,1.0
Bill Phillips-Michael D'Orso,3.73,en-US,201.0,3806.0,275.0
Pamela Peeke-Cindy Crawford,3.63,en-US,288.0,398.0,63.0
Bill Phillips,3.95,eng,405.0,788.0,51.0
Robert G. Hagstrom-Bill Miller-Kenneth L. Fisher,4.12,en-US,245.0,218.0,17.0
Robert P. Miles-Tom Osborne,4.05,eng,432.0,36.0,1.0
Barbara Park-Denise Brunkus,3.98,en-US,68.0,10723.0,591.0
Sarah Mlynowski,3.66,eng,400.0,3250.0,68.0
Frank McConnell,3.31,eng,214.0,13.0,1.0
Giada De Laurentiis-Victoria Pearson,4.09,eng,240.0,8719.0,54.0
Tyler Florence-Petrina Tinslay,4.1,eng,256.0,3586.0,33.0
Tyler Florence-JoAnn Cianciulli-Bill Bettencourt-Bobby Flay,4.05,eng,304.0,1376.0,16.0
Tyler Florence-Petrina Tinslay,3.92,eng,287.0,270.0,15.0
Steven D. Levitt-Stephen J. Dubner,3.96,spa,250.0,185.0,23.0
Steven D. Levitt-Stephen J. Dubner,3.96,en-US,496.0,94.0,5.0
Steven D. Levitt-Stephen J. Dubner-Carlos Braga,3.96,por,264.0,75.0,6.0
Jared Diamond,3.93,eng,525.0,19.0,533.6321277526615
Barry Eisler,4.25,eng,338.0,179.0,22.0
Yann Martel,3.9,en-US,401.0,4242.0,672.0
Yann Martel,3.9,spa,323.0,52.0,8.0
Yann Martel-Nicole Martel-Emile Martel,3.9,fre,448.0,165.0,24.0
Robert Templer,3.48,eng,400.0,101.0,8.0
Robert Templer,3.48,eng,400.0,1.0,533.6321277526615
Python Bonkers,3.55,en-US,256.0,42.0,6.0
James Pinocchio-Pablo Fenjves,3.4,en-US,191.0,200.0,24.0
James M. Kouzes-Barry Z. Posner,4.04,en-US,458.0,865.0,41.0
Donald T. Phillips,4.13,eng,193.0,5000.0,267.0
Gary Yukl,3.68,en-GB,542.0,55.0,4.0
Rudolph W. Giuliani,3.95,eng,115.0,14.0,1.0
Rudolph W. Giuliani,3.72,eng,397.0,1755.0,142.0
John Gray,3.54,en-US,368.0,18.0,1.0
John Gray,3.54,eng,307.0,1057.0,121.0
John Gray,3.54,en-GB,286.0,100.0,9.0
John Gray,3.54,eng,2.0,41.0,3.0
Ron  Louis-David Copeland,3.77,en-US,320.0,80.0,12.0
Jean M. Auel,4.04,eng,468.0,471.0,63.0
Jean M. Auel-Donada  Peters,4.43,eng,342.4027271401487,611.0,34.0
Steven Pressfield,4.41,en-US,523.0,316.0,31.0
Thomas Harlan,3.58,en-US,721.0,143.0,5.0
Steven Pressfield,3.96,eng,354.0,2884.0,193.0
Steven Pressfield,3.89,eng,448.0,3285.0,150.0
Steven Pressfield,3.75,eng,400.0,2083.0,121.0
Stephen J. Rosen-Steven Pressfield,3.74,en-US,176.0,14.0,1.0
David J. Danelo-Steven Pressfield,3.88,eng,340.0,79.0,6.0
Plato-Walter Hamilton,4.12,en-US,160.0,216.0,19.0
Plato-Robin Waterfield,3.91,eng,128.0,27.0,5.0
Plato-C.J. Rowe,3.91,eng,176.0,227.0,20.0
Plato-Harold North Fowler,4.36,mul,583.0,998.0,13.0
Babrius-Phaedrus-Ben Edwin Perry,4.31,eng,736.0,16.0,2.0
Plato-Benjamin Jowett,4.47,eng,157.0,14.0,1.0
Josef Pieper-Richard Winston-Clara Winston,4.48,eng,125.0,25.0,4.0
Plato-C.D.C. Reeve,4.05,eng,272.0,146.0,4.0
Plato-James H. Nichols Jr.,4.41,eng,233.0,15.0,1.0
Plato-C.J. Rowe,3.84,eng,128.0,25.0,6.0
Plato-Walter Hamilton-Chris Emlyn-Jones,3.95,en-GB,208.0,7840.0,180.0
Plato-W.R.M. Lamb,4.39,eng,560.0,426.0,5.0
Herodotus-Aubrey de Sélincourt-John M. Marincola,3.98,eng,622.0,223.0,18.0
Herodotus-Henry Francis Cary,3.98,en-US,613.0,2.0,533.6321277526615
Herodotus-Aubrey de Sélincourt-Andrew Robert Burn,3.98,en-US,653.0,134.0,17.0
Herodotus-Jennifer Tolbert Roberts-Walter Blanco,3.98,en-US,464.0,38.0,5.0
Herodotus-Peter Grene,3.98,en-US,710.0,36.0,6.0
Homer-Stanley Lombardo-Sheila Murnaghan,3.85,en-US,574.0,995.0,131.0
Homer-Robert Fitzgerald-Andrew Ford,3.85,en-US,588.0,664.0,72.0
Homer-E.V. Rieu-Peter Jones-D.C.H. Rieu,3.85,eng,462.0,1844.0,111.0
Homer-W.H.D. Rouse,3.85,en-US,312.0,151.0,14.0
Homer-Sheila Murnaghan-Stanley Lombardo,3.95,en-US,215.0,197.0,16.0
Homer-Robert Fitzgerald-D.S. Carne-Ross,3.75,eng,515.0,1650.0,173.0
Homer-Richmond Lattimore,3.75,eng,374.0,1100.0,78.0
Homer-E.V. Rieu-Peter Jones-D.C.H. Rieu,3.75,eng,324.0,2405.0,159.0
Homer-W.H.D. Rouse,3.75,eng,304.0,252.0,24.0
Virgil-Barbara Weiden Boyd,4.34,eng,161.0,65.0,6.0
Virgil-Henry Rushton Fairclough-G.P. Goold,4.31,mul,607.0,368.0,10.0
Ed Roberson,4.14,eng,136.0,66.0,7.0
Virgil-Cecil Day-Lewis,3.82,eng,180.0,237.0,14.0
Paul  Kirk,3.9,eng,272.0,52.0,533.6321277526615
Reduced Shakespeare Company-Jess Borgeson-Adam Long-Daniel Singer-Jess Winfield,4.46,eng,137.0,7970.0,117.0
Paulo Coelho-Alan R. Clarke,3.65,en-US,272.0,878.0,90.0
Paulo Coelho-Alan R. Clarke,3.31,en-US,212.0,696.0,56.0
Paulo Coelho-Clifford E. Landers,3.62,en-US,256.0,749.0,49.0
William Shakespeare-Stephen Orgel-A.R. Braunmuller,4.01,eng,148.0,1605.0,116.0
Carla Lynn Stockton,3.68,en-US,129.0,65.0,6.0
William Shakespeare-Terri Mategrano,4.04,eng,240.0,98.0,16.0
Giorgio De Santillana-Hertha Von Dechend,4.27,eng,450.0,458.0,52.0
Thucydides-C.F. Smith,4.3,mul,496.0,191.0,7.0
Thucydides-Paul Woodruff,3.72,eng,172.0,567.0,13.0
Thucydides-C.F. Smith,4.34,mul,400.0,36.0,533.6321277526615
Thucydides-Steven Lattimore,3.89,eng,530.0,151.0,23.0
Thucydides-Jennifer Tolbert Roberts-Walter Blanco,3.89,eng,554.0,24.0,4.0
Thucydides-C.F. Smith,4.28,eng,480.0,33.0,533.6321277526615
Cynthia W. Shelmerdine,4.5,eng,34.0,2.0,533.6321277526615
Euripides-Richmond Lattimore-David Grene-Rex Warner-Ralph Gladstone,4.03,eng,221.0,4482.0,52.0
Euripides-David Grene-Richmond Lattimore-Emily Townsend Vermeule-Elizabeth Wyckoff-William Arrowsmith,4.21,eng,228.0,3313.0,44.0
Euripides-David Grene-Richmond Lattimore-William Arrowsmith-Frank William Jones-Charles R. Walker,4.21,eng,307.0,546.0,8.0
Euripides-Anne Carson,4.39,eng,312.0,593.0,68.0
Euripides-Moses Hadas-John Maclean,4.17,en-US,432.0,1430.0,21.0
Euripides-David Grene-Richmond Lattimore-William Arrowsmith-John Frederick Nims-Ronald Frederick Willetts,3.98,eng,255.0,535.0,15.0
Euripides-David Grene-Richmond Lattimore-Witter Bynner-William Arrowsmith,4.33,eng,264.0,734.0,12.0
Euripides-John Davie-Richard Rutherford,4.03,eng,206.0,8994.0,113.0
Euripides-David Kovacs,4.21,eng,432.0,58.0,4.0
Euripides-Donald J. Mastronarde,3.85,grc,431.0,199.0,9.0
Euripides-John Davie-Richard Rutherford,4.13,eng,360.0,153.0,8.0
Euripides-Reginald Gibbons-Peter H. Burian,3.86,eng,160.0,146.0,13.0
Euripides-David Thompson-J. Michael Walton,3.78,eng,192.0,9.0,533.6321277526615
Euripides,3.56,eng,64.0,31.0,4.0
Wole Soyinka,3.85,eng,128.0,108.0,6.0
Euripides-James Morwood-Robin Waterfield,4.07,eng,282.0,146.0,2.0
Euripides-William Arrowsmith,3.83,eng,142.0,1824.0,85.0
Euripides-David Kovacs,4.47,eng,464.0,30.0,4.0
Euripides-A. Dale,3.69,eng,216.0,5.0,1.0
Euripides-Georgia Ann Machemer-Michael   Collier,3.85,eng,116.0,339.0,33.0
William Allan,3.88,eng,160.0,17.0,1.0
Robert J. Milch,4.2,eng,69.0,5.0,533.6321277526615
Euripides-David Kovacs,3.97,eng,528.0,27.0,2.0
Euripides-Pantelis Michelakis,4.02,eng,144.0,12.0,1.0
Euripides-David Grene-Richmond Lattimore,4.48,eng,672.0,46.0,7.0
Aeschylus-David Grene-Richmond Lattimore,4.01,en-US,171.0,688.0,50.0
Aeschylus-David Grene-Richmond Lattimore-Seth Benardete,4.1,eng,188.0,382.0,25.0
Aeschylus-Alan Shapiro-Peter H. Burian,4.01,eng,304.0,76.0,7.0
Aeschylus-Peter Meineck-Helene P. Foley,4.01,eng,224.0,286.0,20.0
Aeschylus-Philip Vellacott,4.1,eng,160.0,4075.0,55.0
Aeschylus-Ted Hughes,4.01,en-US,208.0,211.0,25.0
Aeschylus-David R. Slavitt-Smith Palmer Bovie,4.01,eng,178.0,12.0,3.0
Aeschylus-Richmond Lattimore-David Grene,4.11,eng,358.0,75.0,7.0
Simon Goldhill,4.03,eng,95.0,28.0,3.0
Aeschylus-George Thomson-Richard Seaford,4.01,eng,127.0,61.0,7.0
Aeschylus-David R. Slavitt-Smith Palmer Bovie,4.1,en-GB,232.0,12.0,2.0
Aeschylus-E.D.A. Morshead,4.01,eng,151.0,87.0,8.0
Aeschylus-E.D.A. Morshead,4.1,eng,208.0,1.0,533.6321277526615
Sophocles-David Grene-Richmond Lattimore-John Moore-Michael Jameson,4.14,eng,254.0,4952.0,34.0
Sophocles-Paul Roche,3.97,eng,288.0,529.0,45.0
Sophocles-Paul Roche,4.27,eng,420.0,2856.0,37.0
Sophocles-Robert Fagles-Bernard Knox,3.97,eng,430.0,2825.0,271.0
Sophocles-Hugh Lloyd-Jones,4.49,eng,496.0,104.0,7.0
Sophocles-Peter Meineck-Paul Woodruff,3.97,en-US,304.0,102.0,7.0
